compound_id,target_CHRM1_standard_value,target_CHRM2_standard_value,target_CHRM3_standard_value,target_CHRM4_standard_value,target_CHRM5_standard_value,target_DRD2_standard_value,target_HRH1_standard_value,target_HTR2A_standard_value,target_KCNH2_standard_value,target_OPRM1_standard_value,base_rdkit_smiles
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.590078631911219,,,,,,,,,,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,5.033432861379978,5.026714679641652,5.018654047910903,5.0451283873048185,5.029231966035558,4.999999986326396,5.961059196841696,,,5.00000001478318,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12
N[C@@H](CCS(=O)O)C(=O)O,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,N[C@@H](CCS(=O)O)C(=O)O
NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1,6.0,,,,,8.200329725273209,6.797940008672037,7.538801001050523,,,NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1
COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.769001296535947,,5.0,COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1
CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,5.5509473228859285,,,,,,9.048585830186893,,5.654614681383624,,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1
COc1ccccc1N1CCC(C(=O)Nc2ccc(OC)c(N3CCN(C)CC3)c2)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,COc1ccccc1N1CCC(C(=O)Nc2ccc(OC)c(N3CCN(C)CC3)c2)CC1
C[C@@H](c1cscn1)c1c(CCN(C)C)sc2ccccc12,2.2790026183169214,,,,,,8.339080722772808,,5.770000157359848,,C[C@@H](c1cscn1)c1c(CCN(C)C)sc2ccccc12
CN1CCC(c2c3ccccc3cc(=O)c3sccc23)CC1,6.57,6.53,6.33,6.85,6.57,,9.86,8.05,4.65,,CN1CCC(c2c3ccccc3cc(=O)c3sccc23)CC1
O=C(OCCN1CCCC1)N1c2ccccc2Sc2ccccc21,8.699656668112006,7.0,7.180305354819378,7.26920208005901,8.221232916538787,,7.539200667367015,5.619929586096132,,,O=C(OCCN1CCCC1)N1c2ccccc2Sc2ccccc21
NC1=NCc2cc(Cl)ccc2N1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.879383735190992,,5.0,NC1=NCc2cc(Cl)ccc2N1
Fc1ccc(Cn2c([C@@H]3CCCNC3)nc3ccccc32)cc1,6.319586254208138,,,,,,8.920272917984125,,5.0,,Fc1ccc(Cn2c([C@@H]3CCCNC3)nc3ccccc32)cc1
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,5.96152342060515,,6.0095913081025,6.198824868141156,5.490557441817624,,5.608755633390333,,,,CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1
CNC1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,6.005081018470792,,,,,,8.619929586096129,,,,CNC1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
Cc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccs1,5.0,,,,,,8.658788659588897,,5.522878745280337,,Cc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1nccs1
CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc21)c1ccccn1,6.819994440471143,7.480020409623966,7.019998314208128,6.480000735440576,6.139998789049451,,9.089954727202963,,,,CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc21)c1ccccn1
CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,9.2644,8.0,8.88941,8.6216,8.69465,,8.49757,7.619789999999999,,,CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2
C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1,6.030700106339553,6.167900962695737,6.290486679674723,6.3813006344293015,6.4724402408700525,5.0,5.151000993969878,5.868706901596526,,,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,6.24297,6.008128987384584,5.7754736614429625,5.92564532738696,5.6744645810374434,6.9267548791379205,6.213113388329744,6.0,,6.0,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1
NC(CSSCC(N)C(=O)O)C(=O)O,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,NC(CSSCC(N)C(=O)O)C(=O)O
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,8.320887088687801,7.959286785656352,8.002640271256146,8.566077649694657,8.45453481843811,7.150690659043544,9.37,9.219461695178303,4.904956294286613,,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
