inchi_key,rdkit_smiles,PIC50
HGRHWEAUHXYNNP-UHFFFAOYSA-N,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,4.999999986326396
PDNJLMZEGXHSCU-VKHMYHEASA-N,N[C@@H](CCS(=O)O)C(=O)O,5.0
KWZBJWOQFABHPF-UHFFFAOYSA-N,NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1,8.200329725273209
WJYDVXOBGXFRGI-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1,5.0
SYERHDJULLPKRY-UHFFFAOYSA-N,COc1ccccc1N1CCC(C(=O)Nc2ccc(OC)c(N3CCN(C)CC3)c2)CC1,5.0
XXJMPUMRHCNWPW-UHFFFAOYSA-N,NC1=NCc2cc(Cl)ccc2N1,5.0
GPZMWOXSIRVXQW-OAHLLOKOSA-N,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1,5.0
ANTKBACNWQHQJE-UHFFFAOYSA-N,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,6.9267548791379205
LEVWYRKDKASIDU-UHFFFAOYSA-N,NC(CSSCC(N)C(=O)O)C(=O)O,5.0
JJCFRYNCJDLXIK-UHFFFAOYSA-N,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,7.150690659043544
ADVPTQAUNPRNPO-UHFFFAOYSA-N,NC(CS(=O)O)C(=O)O,5.0
VHGCDTVCOLNTBX-UHFFFAOYSA-N,CNCCC(Oc1ccccc1C)c1ccccc1,5.5
XMXHEBAFVSFQEX-UHFFFAOYSA-N,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,7.608183206552819
WLMBSKSEPQCRJV-OAHLLOKOSA-N,CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,5.0
OHBRURMYVYWCLY-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1,5.0
BNXUKTBRYQQOIZ-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1,5.0
RNXYMZNGMNWKMC-UHFFFAOYSA-N,COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.041672831162827
GPCVUHGDQJVKPL-UHFFFAOYSA-N,CCN(C)C1CCCc2ccncc21,5.0
WIQRCHMSJFFONW-HNNXBMFYSA-N,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.0
FFEARJCKVFRZRR-UHFFFAOYSA-M,CSCCC(N)C(=O)[O-],5.0
UKEGGLXTKHMXEB-JZHZUCMVSA-N,Nc1nc2c(c(N3CCNCC3)n1)CC=C1O[C@H]3CCCC[C@H]3C12,5.6
WSVWKHTVFGTTKJ-UHFFFAOYSA-N,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,6.068837570717098
PNVNVHUZROJLTJ-UHFFFAOYSA-N,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,5.0
MVWVFYHBGMAFLY-UHFFFAOYSA-N,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,8.412211343068893
KYYIDSXMWOZKMP-UHFFFAOYSA-N,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,5.0
VBOQYPQEPHKASR-VKHMYHEASA-N,N[C@@H](CCS(=O)(=O)O)C(=O)O,5.0
XKGPHJMKJBEURD-UHFFFAOYSA-N,CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,5.041672831162827
MVKKLGNVARQKRP-UHFFFAOYSA-N,O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,7.362340701215545
HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21,5.631264526293652
ROFVXGGUISEHAM-UHFFFAOYSA-N,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,5.0
HDOZVRUNCMBHFH-UHFFFAOYSA-N,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,8.04724350742729
CBHCDHNUZWWAPP-UHFFFAOYSA-N,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,5.6
GXZWKZAOGQRNTL-UHFFFAOYSA-N,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,8.728859583205452
DZKYLEMMURXALW-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1,5.0
QZUDBNBUXVUHMW-UHFFFAOYSA-N,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.379980668779571
DVSMVUMYJDOPJQ-UHFFFAOYSA-N,CN1CCc2c(c3cccc4c3n2-c2ccccc2CC4)C1,6.0797192489253975
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.0
BCGWQEUPMDMJNV-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccccc21,6.260427444080357
AOENLUNXEDMDRT-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1N1CCN(C)CC1,5.0
OGWAJJGAXANYMJ-UHFFFAOYSA-N,COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1,5.0
WTLBLIGPXACYET-UHFFFAOYSA-N,N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1,5.0
UGSSYCALUUTVMW-UHFFFAOYSA-N,CC1=NC2=CCCCN2C(=O)C1CCN1CCC(c2noc3cc(F)ccc23)CC1,9.36
XVOYSCVBGLVSOL-UHFFFAOYSA-N,NC(CS(=O)(=O)O)C(=O)O,5.0
IZBNNCFOBMGTQX-UHFFFAOYSA-N,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,5.638272163982407
ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,5.0
DKMFBWQBDIGMHM-UHFFFAOYSA-N,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,7.0981794536752725
SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0
SAPNXPWPAUFAJU-UHFFFAOYSA-N,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,5.436447600817597
KLBQZWRITKRQQV-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,7.916086983620374
FFFHZYDWPBMWHY-UHFFFAOYSA-N,[NH3+]C(CCS)C(=O)[O-],5.0
AHOUBRCZNHFOSL-YOEHRIQHSA-N,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.0
SRPXSILJHWNFMK-ZBEGNZNMSA-N,N[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.0
VNFPBHJOKIVQEB-UHFFFAOYSA-N,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.390420026977072
QSLMDECMDJKHMQ-UHFFFAOYSA-N,CNCCCC12CCC(c3ccccc31)c1ccccc12,6.099162090979531
