compound_id,target_DRD2_standard_value,target_CHRM2_standard_value,target_HTR2A_standard_value,target_OPRM1_standard_value
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,4.999999986326396,5.026714679641652,,5.00000001478318
N[C@@H](CCS(=O)O)C(=O)O,5.0,5.0,5.0,5.0
NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1,8.200329725273209,,7.538801001050523,
COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,6.769001296535947,5.0
O=C(NC1CCCC1)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.0,,,
CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(C(F)(F)F)cc2)n1C)CC3,6.241672215099273,,,
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(F)c(F)c2)n1C)CC3,6.141672507150399,,,
Fc1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,6.730325685260695,,7.746485831632231,
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,9.137235702880474,,9.13097181908848,
COc1ccccc1N1CCC(C(=O)Nc2ccc(OC)c(N3CCN(C)CC3)c2)CC1,5.0,5.0,5.0,5.0
Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C)oc6cc5CC4)n3C)cccc2n1,6.141672507150399,,,
OC1(c2ccc(Cl)cc2)C[C@@H]2CC[C@H](C1)N2CCCCc1ccc(F)cc1,7.480495353374036,,6.499646912594082,
c1ccc2c(c1)CCN(CCCc1nc3ccccc3[nH]1)C2,6.065,,,
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(C)cc2)CC1,5.0,,,5.699255015812937
Cc1ncoc1-c1nnc(SCCCN2CCc3cc4nc(CC5CC5)oc4cc3CC2)n1C,6.241672215099273,,,
CN(CCC=C1c2ccccc2CCc2ccccc21)C(=O)Cc1ccc(OCCCN2CCCCC2)cc1,6.0425538565082135,,,
Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,6.9222265193037344,,,
NC1=NCc2cc(Cl)ccc2N1,5.0,5.0,5.879383735190992,5.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,5.250940442879945,,,5.311303696753296
Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4oc(C(F)(F)F)nc4c3CC2)n1C,6.0,,,
CNCC1CC2c3ccccc3Cc3ccccc3N2O1,5.77,,7.88,
CCc1noc2cc3c(cc12)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.141672507150399,,,
N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,6.26,,6.17,5.18
O=C(CCCCN1CCC(c2ccccc2)CC1)c1nc2ccccc2s1,6.191641657310384,,8.469507027652583,
COc1ccccc1N1CCN(Cc2cc(CN3CCN(c4ccc(Cl)cc4)CC3)c3cccccc2-3)CC1,6.947119402009204,,,
Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1,6.041672833866111,,,
CCNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCC[C@H]2C)C3=O)cc1,5.0,,,
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,5.73,,6.39,5.55
c1ccc(-c2nc(CN3CCCN(c4nccs4)CC3)co2)cc1,5.49,,5.48,
O=C(CCCN1C2CCC1CC(c1ccccc1)C2)c1ccc(F)cc1,6.9083932065484,,6.973128044911742,
Cc1ccn(CCN2CCC(Cc3ccccc3F)CC2)n1,5.65,,6.48,
O=C(CCCN1CCCc2ccccc2C1)c1ccc(Cl)cc1,5.45,,6.92,
CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,9.096607295570484,,,
OC1(c2ccc(Cl)cc2)CCN(CCCCc2ccc(F)cc2)CC1,7.619929586096133,,6.519997685680949,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6onc(C)c6cc5CC4)n3C)cccc2n1,6.241672215099273,,,
Cn1nnc(-c2ccc3c(c2)c(C2CCN(CCN4CCNC4=O)CC2)cn3-c2ccc(F)cc2)n1,6.852580654773918,,,
O=C(CCCN1C2CCC1CC(O)(c1ccccc1)C2)c1ccc(F)cc1,8.639424054660804,,7.9100616295202,
C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1,5.0,6.167900962695737,5.868706901596526,
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,6.9267548791379205,6.008128987384584,6.0,6.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C7CC7)oc6cc5CC4)n3C)cccc2n1,6.241672215099273,,,
NC(CSSCC(N)C(=O)O)C(=O)O,5.0,5.0,5.0,5.0
Cn1c(SCCCN2CCc3ccc4oc(C(F)(F)F)nc4c3CC2)nnc1-c1ccccc1,6.299997602857746,,,
CN(CCC=C1c2ccccc2CCc2ccccc21)Cc1ccc(OCCCN2CCCCC2)cc1,6.998559542072452,,,
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,7.150690659043544,7.959286785656352,9.219461695178303,
NC(CS(=O)O)C(=O)O,5.0,5.0,5.0,5.0
CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(F)c(F)c2)n1C)CC3,6.341672022343197,,,
CNCCC(Oc1ccccc1C)c1ccccc1,5.5,5.843066389815422,6.0,
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,7.608183206552819,5.350944784432143,9.09505975936198,5.0
C[C@H]1CCCN1C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.0,,,
CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,5.0,5.0,5.0,5.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(C)(C)C)oc6c(Br)c5CC4)n3C)cccc2n1,6.241672215099273,,,
CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.54,,6.64,5.34
Clc1ccc2c(c1)N=C(N1CCN(Cc3ccc(OCCCN4CCCCC4)cc3)CC1)c1ccccc1N2,6.545051713330497,,,
COc1ccccc1N1CCN(Cc2cc(CN3CCN(c4ccccc4OC)CC3)c3cccccc2-3)CC1,7.669678693596578,,,
O=C1NCN(c2ccccc2)C12CCN(CCCCc1nc3ccccc3o1)CC2,7.995,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C)sc6c5CC4)n3C)cccc2n1,6.0,,,
Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(F)(F)F)oc4c3CC2)n1C,5.800000874803202,,,
COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.221812736109662,5.0
COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.876346244766469,5.0
Cc1ccc(-c2nnc(SCCCN3CCc4ccc5oc(C(F)(F)F)nc5c4CC3)n2C)cn1,6.399996913372259,,,
COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.041672831162827,5.599999794341207,5.200000079036451,5.050898691329959
c1ccc(Cc2ccccc2OCCN2CCCCC2)cc1,5.992354652583591,,,
Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1,5.841673129687213,,,
CCOc1ccc([C@H](O)CN2CCN(c3ccccc3F)CC2)cc1,5.7,,5.64,
CCN(C)C1CCCc2ccncc21,5.0,5.0,,5.0
NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.0,5.714378574719888,6.413804185302332,
NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,7.184807417771897,,8.443496576469991,
COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(Cc4ccc5ccccc5c4)CC3)[C@@H]1CO2,6.0,,6.0,
COc1cccc2c1CCC[C@H]2CN(C)CCc1ccc2ccoc2c1,6.0,,6.0,
OC1(c2ccc(Cl)cc2)C[C@@H]2CC[C@H](C1)N2CCCCc1nc2ccccc2s1,7.358849107837938,,5.0,
CSCCC(N)C(=O)[O-],5.0,5.0,5.0,5.0
CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,5.0,,,
Nc1nc2c(c(N3CCNCC3)n1)CC=C1O[C@H]3CCCC[C@H]3C12,5.6,5.1,5.27,5.6
CN(CCCC12CCC(c3ccccc31)c1ccccc12)Cc1ccc(OCCCN2CCCCC2)cc1,6.838549048071855,,,
O=C(CCCCN1CCCN(c2ccc(Cl)cc2)CC1)c1nc2ccccc2s1,5.701785761931566,,5.999566355659861,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6ncoc6cc5CC4)n3C)cccc2n1,5.641672623851582,,,
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,9.1768866992941,,8.239104175180438,
CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,8.06,,8.46,
COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,6.6742866268923375,5.0,5.627379333873236,5.0
CC1(C)CC(=O)N(CCCCN2Cc3ccccc3C2)C(=O)C1,5.53,,,
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,6.27,5.3429400000000005,,7.08
CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.341672022343197,,,
COc1ccc(C(=O)CCCN2CCc3ccccc3C2)cc1,6.6,,5.595,
c1ccc(OCc2cc(OC[C@@H]3CCCN3)no2)cc1,4.5,,5.358651835728417,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1,6.399996913372259,,,
